names,signf_1,signf_2,signf_3,signf_4,signf_5,signf_6,signf_7
d0001,1,1,1,0,0,0,0
d0002,1,1,1,1,1,0,1
d0003,1,1,1,1,1,1,1
d0004,1,1,1,1,0,0,0
d0005,1,1,1,1,0,0,0
d0006,1,1,0,0,0,0,0
d0007,1,1,1,1,1,1,1
d0008,1,1,1,1,1,1,1
d0009,1,1,1,1,1,1,1
d0010,1,1,1,1,1,0,0
d0011,1,1,1,1,1,1,1
d0012,1,1,1,1,1,1,1
d0013,1,1,1,1,1,1,0
d0014,1,1,1,0,0,0,0
d0015,1,1,1,1,0,0,0
d0016,1,1,1,1,0,0,0
d0017,1,1,1,1,1,1,1
d0018,1,1,1,1,0,0,0
d0019,1,1,1,0,0,0,0
d0020,1,1,1,1,0,0,0
d0021,1,1,1,1,1,1,0
d0022,1,1,1,1,1,1,1
d0023,1,1,1,1,1,1,0
d0024,1,1,0,0,1,0,0
d0025,1,1,1,1,0,1,1
d0026,1,1,1,1,1,1,1
d0027,1,1,1,1,1,1,1
d0028,1,1,1,1,1,0,0
d0029,1,1,1,1,1,0,0
d0030,1,1,0,1,0,0,0
d0031,1,1,1,0,0,0,0
d0032,1,1,1,1,0,1,0
d0033,1,1,1,1,1,1,0
d0034,1,1,1,1,1,1,1
d0035,1,1,1,1,1,1,1
d0036,1,1,1,1,1,0,0
d0037,1,1,0,0,0,0,0
d0038,1,1,1,1,1,1,1
d0039,1,1,1,1,1,0,0
d0040,1,1,1,1,1,1,1
d0041,1,1,1,1,1,1,1
d0042,1,1,1,1,1,1,1
d0043,1,1,1,1,0,0,0
d0044,1,1,0,0,0,0,0
d0045,1,1,1,1,1,0,0
d0046,1,1,1,1,1,1,0
d0047,1,1,1,1,1,1,1
d0048,1,1,1,1,1,1,1
d0049,1,1,1,1,1,1,1
d0050,1,1,1,0,0,0,0
d0051,1,1,1,1,0,0,0
d0052,1,1,1,1,1,1,1
d0053,1,1,1,0,0,1,0
d0054,1,1,1,0,0,0,0
d0055,1,1,1,0,0,0,0
