names,signf_1,signf_2,signf_3,signf_4,signf_5,signf_6,signf_7
e00001,1,1,1,1,0,0,1
e00002,1,1,1,1,1,0,0
e00003,1,1,1,1,0,0,0
e00004,1,1,1,1,1,0,0
e00005,1,1,1,1,1,1,1
e00006,1,1,1,1,1,0,0
e00007,1,1,1,1,1,1,0
e00008,1,1,1,1,0,0,0
e00009,1,1,1,1,1,1,1
00010,1,1,1,1,1,1,0
00011,1,1,1,1,1,1,0
00012,1,1,1,1,1,0,0
00013,1,1,1,1,1,1,0
00014,1,1,1,1,1,0,0
00015,1,1,1,1,1,1,1
00016,1,1,1,1,1,1,1
00017,1,1,1,1,1,1,1
00018,1,1,1,1,1,1,1
00019,1,1,1,1,1,0,0
00020,1,0,0,0,0,0,0
00021,1,1,1,1,1,1,0
00022,1,1,1,1,1,0,0
00023,1,1,1,1,0,1,1
00024,1,1,1,1,1,0,0
00025,1,1,1,1,1,1,1
00026,1,1,1,1,1,1,0
00027,1,1,1,1,1,0,1
00028,1,1,1,1,1,0,0
00029,1,1,1,1,1,1,1
00030,1,1,1,1,1,1,1
00031,1,1,1,1,1,1,1
00032,1,1,1,1,0,1,0
00033,1,1,1,1,1,1,0
00034,1,1,1,1,1,0,0
00035,1,1,1,1,1,1,0
00036,1,1,1,1,1,0,1
00037,1,1,1,1,1,1,0
00038,1,1,1,1,1,1,0
00039,1,1,1,1,1,0,1
00040,1,1,1,1,1,1,1
00041,1,1,1,1,1,1,1
00042,1,1,1,1,1,1,1
00043,1,1,1,1,1,1,0
00044,1,1,0,1,0,0,0
00045,1,1,1,1,1,0,1
00046,1,1,1,1,1,1,1
00047,1,1,1,1,1,1,1
00048,1,1,1,1,1,1,0
00049,1,1,1,1,0,0,1
00050,1,1,1,1,1,1,1
00051,1,1,1,1,0,0,0
00052,1,1,1,1,1,1,0
00053,1,1,1,1,1,1,1
00054,1,1,1,1,1,1,1
00055,1,1,1,1,1,1,1
00056,1,1,1,1,1,1,0
00057,1,1,1,1,1,1,1
00058,1,1,1,1,0,0,1
00059,1,1,1,1,1,1,1
00060,1,1,1,1,1,1,1
00061,1,1,1,1,1,1,1
00062,1,1,1,1,1,1,1
00063,1,1,1,0,0,0,0
00064,1,1,1,1,1,1,1
00065,1,1,1,1,1,1,0
00066,1,1,1,1,0,1,0
00067,1,1,1,1,1,1,1
00068,1,1,1,1,0,1,0
00069,1,1,1,1,0,1,0
00070,1,1,1,1,1,1,1
00071,1,1,1,1,0,0,0
00072,1,1,1,1,1,0,1
00073,1,1,1,1,1,1,0
00074,1,1,1,1,1,1,1
00075,1,1,1,1,1,0,1
00076,1,1,1,1,1,1,0
00077,1,1,1,1,0,0,0
00078,1,1,1,1,1,0,1
00079,1,1,1,1,1,0,0
00080,1,1,1,1,0,0,0
00081,1,1,1,1,0,0,0
00082,1,1,1,1,1,1,0
00083,1,1,1,1,1,1,1
00084,1,1,1,1,1,1,0
00085,1,1,1,1,1,1,1
00086,1,1,1,1,1,0,1
00087,1,1,1,1,1,0,0
00088,1,1,1,1,1,1,1
00089,1,1,1,1,1,1,1
00090,1,1,1,1,0,1,1
00091,1,1,1,1,1,1,1
00092,1,1,1,1,0,0,0
00093,1,1,1,1,1,1,0
00094,1,1,1,1,1,0,0
00095,1,1,1,1,1,0,0
00096,1,1,1,1,0,0,0
00097,1,1,1,1,1,1,0
00098,1,1,1,1,1,1,1
00099,1,1,0,0,0,1,1
00100,1,1,1,1,1,1,1
00101,1,1,1,1,1,1,1
00102,1,1,1,1,1,1,1
00103,1,1,1,1,1,1,1
00104,0,0,1,1,1,1,0
00105,1,1,1,1,1,0,1
00106,1,1,1,1,1,0,0
00107,1,1,1,1,0,1,0
00108,1,1,1,1,1,0,1
00109,1,1,1,1,1,1,0
00110,1,1,1,1,1,1,1
00111,1,1,0,1,0,0,1
00112,1,1,1,1,1,1,1
00113,1,1,1,1,1,1,1
00114,1,1,1,1,0,1,0
00115,1,1,1,1,1,1,1
00116,1,0,0,0,0,1,1
00117,1,1,1,1,1,1,0
00118,1,1,1,0,0,0,0
00119,1,1,1,1,1,1,1
00120,1,1,1,1,1,1,1
00121,1,1,1,1,1,1,1
00122,1,1,1,1,1,0,1
00123,1,1,1,1,1,1,1
00124,1,1,1,1,1,1,0
00125,1,1,1,1,0,0,0
00126,1,1,1,1,1,0,0
00127,0,0,1,1,1,0,0
00128,1,1,1,1,1,1,1
00129,1,1,1,1,1,1,1
00130,1,1,1,1,1,1,1
00131,1,1,1,1,1,1,0
00132,1,1,1,1,1,1,0
00133,1,1,1,1,1,1,0
00134,1,1,1,1,0,1,0
00135,1,1,1,1,0,1,1
00136,1,1,1,1,1,0,0
00137,1,1,1,1,0,1,0
00138,1,1,1,1,1,1,1
00139,1,1,1,1,1,1,0
00140,1,1,1,1,1,1,1
00141,1,1,1,1,1,1,0
00142,1,1,1,1,1,1,1
00143,1,1,1,1,0,0,0
00144,1,1,1,1,1,1,0
00145,1,1,1,1,1,1,1
00146,1,1,1,1,0,1,0
00147,1,1,1,1,1,1,1
00148,1,1,1,1,1,1,1
00149,1,1,1,1,0,1,1
00150,1,1,1,1,1,1,0
00151,1,1,0,1,0,0,1
00152,1,1,1,1,1,1,1
00153,1,1,1,1,0,0,1
00154,1,1,1,1,1,1,1
00155,1,1,1,1,0,1,1
00156,1,1,1,1,1,1,0
00157,1,1,1,1,1,1,1
00158,1,1,1,1,0,1,0
00159,1,1,1,1,1,1,1
00160,1,1,1,1,0,0,1
00161,1,1,1,1,0,0,1
00162,1,1,1,1,1,0,0
00163,1,1,1,1,1,1,1
00164,1,1,1,1,1,1,1
00165,1,1,1,1,0,0,0
00166,1,1,1,1,1,0,0
00167,1,1,1,1,1,1,0
00168,1,1,1,1,1,1,1
00169,1,1,1,1,1,0,1
00170,1,1,1,1,1,1,1
00171,1,1,1,1,1,1,1
00172,1,1,1,1,1,1,0
00173,1,1,1,1,1,1,1
00174,1,1,1,1,1,1,1
00175,1,1,1,1,1,1,0
00176,1,1,1,1,1,1,1
00177,1,1,1,1,1,1,0
00178,1,1,1,1,1,1,1
00179,1,1,1,1,0,1,0
00180,1,1,1,1,1,0,1
00181,0,0,1,0,0,0,0
00182,1,1,1,1,1,1,1
00183,1,1,1,1,1,1,1
00184,1,1,1,1,1,1,0
00185,1,1,1,1,1,1,1
00186,1,1,1,0,0,0,0
00187,1,1,1,1,1,1,0
00188,1,1,1,1,1,1,1
00189,1,1,1,1,1,1,0
00190,1,1,1,0,0,0,0
00191,1,1,1,1,1,1,1
00192,1,1,1,1,1,1,1
00193,1,1,1,1,1,0,0
00194,1,1,1,1,1,0,0
00195,1,1,1,1,1,1,1
00196,1,1,1,1,1,1,1
00197,1,1,1,1,1,0,1
00198,1,1,1,1,1,1,1
00199,1,1,1,1,1,0,0
00200,1,1,1,1,1,1,0
00201,1,1,1,1,1,0,0
00202,1,1,1,1,1,0,0
00203,1,1,1,1,1,1,1
00204,1,1,1,1,1,1,1
00205,1,1,1,1,1,1,0
00206,1,1,1,1,1,1,1
00207,1,1,1,1,1,1,1
00208,1,1,1,1,1,0,0
00209,1,1,1,1,1,1,0
00210,1,1,1,0,0,1,1
00211,1,1,1,0,0,0,0
00212,1,1,1,1,1,0,0
00213,1,1,1,0,0,0,0
00214,1,1,1,1,1,1,0
00215,1,1,1,1,1,1,1
00216,1,1,1,1,0,0,1
00217,1,1,1,1,1,1,0
00218,1,1,1,1,1,0,0
00219,1,1,1,1,1,0,0
00220,1,1,1,1,1,1,1
00221,1,1,1,1,1,1,1
00222,1,1,1,1,1,1,0
00223,1,1,1,1,1,1,0
00224,1,1,1,1,1,1,0
00225,1,1,1,1,1,1,1
00226,1,1,1,0,1,0,0
00227,1,1,1,0,0,0,0
00228,1,1,1,1,0,0,1
00229,1,1,1,1,1,1,0
00230,1,1,1,1,1,0,1
00231,1,1,1,1,1,1,1
00232,1,1,1,1,0,1,0
00233,1,1,1,1,1,1,1
00234,1,1,1,1,0,1,1
00235,1,1,1,1,1,1,1
00236,1,1,1,1,1,0,0
00237,1,1,1,1,1,1,0
00238,1,1,1,1,1,1,0
00239,1,1,1,1,1,1,1
00240,1,1,1,1,1,1,0
00241,1,1,1,1,1,1,0
00242,1,1,1,1,1,1,1
00243,1,1,1,1,1,1,0
00244,1,1,1,1,1,1,0
00245,1,1,1,1,1,1,0
00246,1,1,1,1,1,0,1
00247,1,1,1,1,1,1,1
00248,1,1,1,1,1,1,1
00249,1,1,1,1,1,1,1
00250,1,1,1,1,0,0,0
00251,1,1,1,1,1,1,1
00252,1,1,1,1,1,0,0
00253,1,1,1,1,1,1,1
00254,1,1,1,1,1,1,1
00255,1,1,1,1,1,1,1
00256,1,1,1,1,1,1,0
00257,1,1,1,1,1,1,1
00258,1,1,1,1,1,0,1
00259,1,1,1,1,1,1,1
00260,1,1,1,1,0,0,0
00261,1,1,1,1,1,1,1
00262,1,1,1,1,1,1,0
